province,name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating,animates
An Giang,LARA HOTEL LONG XUYEN,https://larahotellongxuyen.com/,"Khách sạn bình dị có phòng ốc tinh tế, nhà hàng và cửa hàng tiện lợi kiểu Nhật.",982975,"Nhà thờ Chánh toà Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà Hàng Hải Sản Long Xuyên",Không có hạng sao,"https://lh5.googleusercontent.com/p/AF1QipPMTXum8J6Zo1wDEcf8QboeF63dhIy9gZKbsEvN=s10000, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/08/b8/f2/lara-hotel-long-xuyen.jpg?w=2100&h=1400&s=1, https://lh5.googleusercontent.com/p/AF1QipOnvxRYWlX2mZIP7uM6e-da1JgXR86Y49WcWkSj=s10000, https://lh5.googleusercontent.com/p/AF1QipNwgScanEeyLXh4Ab7psBO1Rvp4Vn_7L0UqGFyX=s10000, https://lh5.googleusercontent.com/p/AF1QipMjyJideJnS42jvULEE2jABvtSpM-FpqcGSC2UW=s10000, https://lh5.googleusercontent.com/p/AF1QipM4-iqA9FCK9Qxj_hZxwBRT1lfHwfq7c_kk5wdM=s10000, https://lh5.googleusercontent.com/p/AF1QipMHpaB_rqEdJD4ekpF0CCO0q6OpGomwsTFmSj_2=s10000, https://lh5.googleusercontent.com/p/AF1QipOLAQ4H1s7sKBmSlUue7Aq0DdCOMlLeznWtSaYE=s10000, https://lh5.googleusercontent.com/p/AF1QipNUGg_VsGFfDnpdssQroAJfpdnklsnQluHrRM2I=s10000",4.3,"Free breakfast, Free Wi-Fi, Free parking, Restaurant, Full-service laundry, Smoke-free property"
An Giang,Khách sạn Victoria Núi Sam,https://www.victoriahotels.asia/en/destination/victoria-nui-sam/,"Khách sạn sang trọng giữa khung cảnh núi non, có biệt thự thoáng mát, nhà hàng sáng sủa và bể bơi vô cực.",2994713,"Miếu Bà Chúa Xứ Núi Sam, Cảng Hàng Không Quốc Tế Cần Thơ, Ẩm Thực Phương Nam (Hoa Viên Phương Nam)",Khách sạn 3 sao,"https://lh5.googleusercontent.com/p/AF1QipOy5Hq2OXRvqHYCBlIBb5OB4fyvNQXI-f06D9z9=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_ro_009.jpg, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_p_001.jpg, https://images.trvl-media.com/lodging/9000000/8270000/8262000/8261959/a4c10ed9_z.jpg, https://lh5.googleusercontent.com/p/AF1QipNlzNg7f9P2Asr7TsdM83nxC1EWSTevEox6bTNG=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_a_003.jpg, https://lh5.googleusercontent.com/p/AF1QipNHG1IoSVNzYPcPA_Yne70OXg_ksckl_xPF1Sdv=s10000, https://lh5.googleusercontent.com/p/AF1QipOXOF32JfJQna9QASIHWi_oQIpBO8dS8fXvdhtg=s10000, https://lh5.googleusercontent.com/p/AF1QipNdbouLgrgVptQF_jAr5RVbc_blc_CiwATN49w0=s10000",3.2,"Free breakfast, Free Wi-Fi, Parking, Outdoor pool, Air conditioning, Bar, Restaurant, Airport shuttle, Full-service laundry, Child-friendly"
An Giang,Khách sạn Victoria Châu Đốc,https://www.victoriahotels.asia/en/destination/victoria-chau-doc/,"Khách sạn bình dân có nhà hàng, quán bar, spa và bể bơi ngoài trời.",3455744,"Tượng đài cá Ba Sa, Cảng Hàng Không Quốc Tế Cần Thơ, Quán Mekong - Cửu Long Nhà Lớn",Khách sạn 4 sao,"https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/7/0/130/631/749/006_Victoria_Chau_Doc_Hotel_Vietnam_Meko_O.jpg, https://lh5.googleusercontent.com/p/AF1QipMe9rFHSPSFrGAyF88yFPaSB8jTxPXcXw2r0vic=s10000, https://lh5.googleusercontent.com/p/AF1QipNICZDfxzTcwduA2OSFKueNlc4Zhxae2HZQHF7a=s10000, https://photos.hotelbeds.com/giata/original/08/083851/083851a_hb_ro_025.jpg, https://lh5.googleusercontent.com/p/AF1QipPJi5Y6M0zrFxc6rGQzaKEbzHUMkagNiFdLdOxd=s10000, https://photos.hotelbeds.com/giata/original/08/083851/083851a_hb_ro_023.jpg, https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/7/0/130/631/825/025_Victoria_Chau_Doc_Hotel_Vietnam_Chau_Doc_Mekong_Speed_O.jpg, https://lh5.googleusercontent.com/p/AF1QipPB19EOEGu42S-EGOECE6hxnsOZbPuebje1aI0x=s10000, https://lh5.googleusercontent.com/p/AF1QipM0P78D8jE9Gftcv6FzEiBe6V7NhsU4pDOSW_kh=s10000",4.1,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Fitness centre, Spa, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible, Child-friendly"
An Giang,ALPHA HOMESTAY MARINA 2 Phòng Ngủ View Sông,https://www.booking.com/hotel/vn/alpha-home-stay-marina-2-phong-ngu-view-song.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9912385_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9912385;utm_campaign=en,Không có mô tả,1080993,"Cảng Hàng Không Quốc Tế Cần Thơ, JOKI ENKAI - Nhà Hàng Hấp Thuỷ Nhiệt Nhật Bản",Không có hạng sao,"https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZFsp563N_OGM1W5i5yWB5eIOmcvefg-AjSE-VlFaBX1aKvluWkyYCa_SkpNgPE7XLEEs4-MBgeOL5Cc1eW9YOr10yAXYsc-Pk9K-qaIOvVnIt1gzJ1rg==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZBBopCc2ozhby1zqmDcJTB-1nGWPbGVsbU8ZqETQwIg4xTB0AuhxjQYoio7onoZH86EKKRGr6iUjftFFsaLZ8Gl9NJQk9vvCEDxNqBOTT_caiSS5uxRg==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZBBopCc2ozhazVg7AWGVD9AOPwnf3NVuZJt8f5aV65wtUe1NdOBHScGd8uHNhHHQxkdTO2KdC0riZH0ts0a70XpA6v0cxUAFm_0HVyHNqcdfO1M3FoNA==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZBBopCc2ozhTAMF8Nu0rkOn1SKEQmGr7QQ-IO0PgHYhMx-lNE7OMzeJZQZo_Q3Sdo_65YdoJB3mO_PwVPJJKmN-sK3Tuyn7f2PYUa_959MUQEIuJZQZw==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZFsp563N_OGP93iUaU45yemlBs5LeUyNBw1ZoOeLaDiy7KaKLGJ1wZ9qB_4ApVAjOkCU4LNjooGjrtqhQo8yrt5bazyMe_xa7cjbyPbL_fq4Y2mkWhVg==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZFsp563N_OGGmorK9F8Sv_pEKCDx8l0r0RC35tsUqMfhzhsFJjwxtbsEMQbxvV-nhKsbarYgoInImLUdqmIS002YlRIP9VOpkHWquS1gu4PBalloQsGA==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZFsp563N_OGDrSPrsz75DGpS6RZsLxRr7hKkOT7JYIc1Q2WVC5doVWOnaiB0riQdJuvHfVBN1ea-0ekzzSQxupBJxVrRzzDdORXJmtlJjY0V7QcY4zXQ==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZBBopCc2ozhQvp6YpS54h2kXhf6kjR5Vx4wqT2lrNbi3Ws0PEJMP3lS2q1JIHXgYZbQyyjCajSrIc0NabGi9CchCfsLl0qseDMvwJvmHk-rhU6zPgvRg==.jpg, https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZBBopCc2ozhb5a3HfpHzq3nJH0jWhEmamAapwKGyHytV25lrEseLG5g5eriludU1wt0UTnAsqcTKv9hfBOVMlp7PVljNYM59JMfQfh5I9HPlcKdVw_nQ==.jpg",4.4,"Điều hòa nhiệt độ, Bếp"
Bà Rịa - Vũng Tàu,The Sóng Luxury Apartmaet -Nghi homesty Vung tau,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=Apartment&accomodationids=65c9d2f0671b07d23c674678,Không có mô tả,557833,Cảng hàng không quốc tế Tân Sơn Nhất,Không có hạng sao,"https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464963612.jpg?k=9c3f6d6fb6e340265c102527c723b6ae9a53b8acd19c3de94f30a324dc0d39a0&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464861762.jpg?k=293eabf50376b46e34d3e06100e3eb7e5f0b76850b62efbb0aeb4da519c2453b&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464860954.jpg?k=1d38be1a9495cebef8dd305e842cb430d3186a5863c5bb80d2dc51d834c0f9ad&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/463955981.jpg?k=31990076699e83eb34d80cf166ec092db7a90b7ee5745af2a4ff588e059b5f7d&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464872988.jpg?k=7354c7686843bdb93a16060db6e467b8dab5933c878b733150238b6184bdf5a4&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/463955895.jpg?k=ad632d6b9cd941743dd757c1d9bfa22207a08628f0bf2948d0033a9cc84a6ac4&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/463955984.jpg?k=366f51389acb71d1ada00abb1e5338e1548ade61a0c64c384dd37d92445b8ca7&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464876076.jpg?k=d3952652342373629cfbe4b69f5643ed1487c59ce3abdbbfb73cfa3477140f8f&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/478552053.jpg?k=c825b4f096ea755a35aaca2c8910a57be0377995ba5574a2c7fd7964a29bf4da&o=",3.2,"Điều hòa nhiệt độ, Ban công, Có đường ra bãi biển, Phù hợp với trẻ em, Giường cũi, Trung tâm thể dục, Bể bơi trong nhà, Kệ bàn là, Bếp, Lò vi sóng, Lò nướng ngoài trời, Bể bơi ngoài trời, Lò nướng, Sân hiên, Không hút thuốc, Truyền hình cáp, Có lối đi cho xe lăn, Đỗ xe miễn phí, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,Leo House - The Song Building (Angia),https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=64860e1d7f7e24c1922e98e7,Không có mô tả,522183,"Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,"https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257935.jpg?k=8e21af4eb035aba12188d737bebc181918202f7be11f4845e8434d2145e8652c&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257937.jpg?k=dada3e72d02662b389910e745e9a19bb9248ea7e3e7470e5cbd3dc1587119dac&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257964.jpg?k=63e506b506b8b7be03986e6e274e75163fc8d7e622dd92edae1b175b5b67dbd9&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257939.jpg?k=2ead0e0590dc501b303a7ffbe42b9280c3ee19bc5cd1e733c14cc5f8ae757410&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257963.jpg?k=e7ef8ff6fb79ed437023cc5876b475c54adf25ebb1ff81ef2d952f3b3c81d962&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257950.jpg?k=662ef551506c07785bb2ffd54330f4a9f41c9c510d5af27ef1e2e26fb3c6eb0e&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/372797413.jpg?k=a0e42e1d41143471e62228a4db5584a4ead0115f5c2c74c6d852401e1d6c3bee&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257949.jpg?k=bde718222b2fca86c3e3eb9e171d1313b3661d00d7fe1a0ce3e5f67457d9a5a9&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257955.jpg?k=87d1b72da1c11602b8cca6babd048eb0b25e3c3b531260552ba31749979add37&o=",3.2,"Điều hòa nhiệt độ, Ban công, Bếp, Không hút thuốc, Truyền hình cáp, Máy giặt, Đỗ xe miễn phí"
Bà Rịa - Vũng Tàu,An An Apartment - The Sóng - Căn hộ cao cấp 5 sao,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=65cad79b671b07d23c70d028,Không có mô tả,730954,Cảng hàng không quốc tế Tân Sơn Nhất,Không có hạng sao,"https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/450540106.jpg?k=ebbf1794ea2dac3b7268b1f1df274da33c31eae092d572b59fab6aec7cae1d61&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/508590582.jpg?k=e92764675985d6a308f9b1d11e629252455277233b6f93ae19a081bd8a6946ef&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/508590770.jpg?k=f6e492e688c5a149e54b7e3fda7cd9c22ddcfe8d177f0522ec921a8b02311296&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/508590811.jpg?k=9aa312fa502da146b715a1fc0c884e70cbef70bdffed6ac7c6de12dcca20866c&o=",3.2,"Điều hòa nhiệt độ, Ban công, Phù hợp với trẻ em, Giường cũi, Thang máy, Kệ bàn là, Bếp, Lò vi sóng, Bể bơi ngoài trời, Lò nướng, Sân hiên, Chấp nhận vật nuôi, Không hút thuốc, Truyền hình cáp, Máy giặt, Có lối đi cho xe lăn, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,Joi Hospitality - Central,https://joihospitality.vn/,"Khách sạn bình dân và tinh tế, có nhà hàng thoáng mát cùng phòng ốc bài trí đơn giản và có tủ lạnh nhỏ.",282150,"Bãi Trước, Bến Xe Vũng Tàu, Cảng hàng không quốc tế Tân Sơn Nhất, Quán Ốc Thiên Nhiên 2",Không có hạng sao,"https://lh5.googleusercontent.com/p/AF1QipOoDFThTxCHIy7M_V30Ysd_zvcRtv3ZFzkwRUyv=s10000, https://lh5.googleusercontent.com/p/AF1QipOVgW7kz2JqPvMgODkMBX1TvT-HU4KMjK7e4RpU=s10000, https://lh5.googleusercontent.com/p/AF1QipMajGta33ttz19SUbNl0k1XVLFDtaDltoD290u5=s10000, https://lh5.googleusercontent.com/p/AF1QipPavjOgHWPN0UW3WgHNLqxCohi344WKg9KOk56E=s10000, https://lh5.googleusercontent.com/p/AF1QipPZ8T9354vozk10od3z3Ez4H2H4NTepK2TDEgx2=s10000, https://cdn.worldota.net/t/1024x768/content/38/17/381730dd477cfcca7e9d771705abe7e541a2c2d1.jpeg, https://images.trvl-media.com/lodging/96000000/95350000/95341100/95341100/616b29af_z.jpg, https://images.trvl-media.com/lodging/96000000/95350000/95341100/95341100/315e7fda_z.jpg, https://images.trvl-media.com/lodging/96000000/95350000/95341100/95341100/5fc73ed8_z.jpg",4.4,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,CAROLINE BEACH VUNG TAU,https://www.booking.com/Pulse-rEPu4D,Không có mô tả,594000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Quach’s Seafood Restaurant",Không có hạng sao,"https://lh5.googleusercontent.com/p/AF1QipPTPocNErxQs4cCZQEi_hclMxKQHjs9kvcH-NmJ=s10000, https://lh5.googleusercontent.com/p/AF1QipMO-E5XZHHGkU4BKc7jJnqNSqihk_Etv5ETv5cD=s10000, https://lh5.googleusercontent.com/p/AF1QipMQ9xSeJSHoReq8UPoI-od1B-p81WDJAEAdSdIy=s10000, https://lh5.googleusercontent.com/p/AF1QipPdtFzMHCe3rZrbVNxUON5Vq7BEBmi2N2vJK4PL=s10000, https://lh5.googleusercontent.com/p/AF1QipMXQ6DTKNK8zM8Hg22WWLedHxel_FfKqoCS9TKF=s10000, https://lh5.googleusercontent.com/p/AF1QipOKehpUrsK98zO9uTD2Idu-_3WlN5q-2YcHyTHw=s10000, https://lh5.googleusercontent.com/p/AF1QipODZXXK8Uiv9D_MxfMm6Wj2GzOzutFv7_OO5Ac2=s10000, https://lh5.googleusercontent.com/p/AF1QipOghdbpYaJZxYdqziHpjY5zUAjlLDn8YtCktaWw=s10000, https://lh5.googleusercontent.com/p/AF1QipNBLeqg1ACAQopFjTsfP5vGDw808cg0h6RirORF=s10000",4,"Breakfast ($), Free Wi-Fi, Free parking, Indoor pool, Air conditioning, Pet-friendly, Beach access, Bar, Restaurant, Room service, Full-service laundry, Accessible, Child-friendly, Smoke-free property"
Bà Rịa - Vũng Tàu,Minh Hai Resort & Restaurant,http://www.minhhairesort.vn/,Không có mô tả,1700942,"Chùa Đại Tùng Lâm, Ngã 3 Mỹ Xuân, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng Minh Hải",Không có hạng sao,"https://lh5.googleusercontent.com/p/AF1QipNOhdZ6WAsB2bYfoZp2CRnwRcWA3wk8rdJ2GxMv=s10000, https://lh5.googleusercontent.com/p/AF1QipOOiLY3bamrri2tihsTS4dUBTVOzSZLH5cjRJbE=s10000, https://lh5.googleusercontent.com/p/AF1QipNXZxDr8BqfEj--RFedrHIr4ZeoWvyZrU3enc6T=s10000, https://lh5.googleusercontent.com/p/AF1QipMdAR-wuPcJJd-9JlCDVAfZQVgUQDb9ph0RVV0y=s10000, https://lh5.googleusercontent.com/p/AF1QipMYflvuqQWfJZfrCluNY6DReZJnIptT5SdEBmd4=s10000, https://lh5.googleusercontent.com/p/AF1QipORNM9K_WufN-n6jEIjp7CLzT0roNuNAwcQKs6g=s10000, https://lh5.googleusercontent.com/p/AF1QipOrD7a0IwKZLq0Ld-z_66pQ4OCT9Kp-2dYWyIlG=s10000, https://lh5.googleusercontent.com/p/AF1QipM-DF-P8w-LI6BY0M_JmfWQkLzdk9VAl50vu226=s10000, https://lh5.googleusercontent.com/p/AF1QipPiWpq6gs49IdrqAhkR6KMOnK3BCyS9INZoCIj3=s10000",3,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Smoke-free property"
